server,bus1,bus2,bus3,bus4,bus5,bus6,cloud
5,221,82,110,76,106,93,107
5,217,91,109,79,103,98,98
5,223,101,110,61,109,83,108
3,218,74,111,93,96,102,103
8,210,75,109,90,94,106,108
5,215,68,107,98,94,106,107
3,223,60,111,106,86,106,105
5,219,63,110,107,92,102,102
5,220,88,109,93,85,103,97
5,217,95,108,93,78,101,103
8,215,87,108,95,72,105,110
2,222,77,108,109,66,109,107
3,222,101,111,109,53,95,106
9,218,97,109,97,86,110,74
15,222,111,109,99,104,109,31
10,217,104,109,100,101,108,51
2,217,88,109,110,67,107,100
8,222,81,109,106,73,104,97
5,221,91,109,96,90,100,88
6,218,91,108,95,75,99,108
6,221,89,110,80,77,108,109
8,222,99,104,101,98,94,74
12,215,93,109,99,88,108,76
6,221,75,110,103,90,107,88
3,215,64,108,107,97,102,104
7,215,75,104,90,95,104,110
7,224,79,107,99,108,95,81
6,214,95,103,98,109,84,91
1,221,82,100,107,107,86,96
8,219,98,98,101,108,79,89
6,216,93,102,97,82,110,94
3,221,93,109,101,65,104,104
9,215,84,110,104,76,98,104
8,222,104,110,103,71,99,83
12,218,104,107,80,60,109,110
3,217,102,98,79,91,101,109
7,220,110,103,74,82,97,107
3,219,107,105,71,88,99,108
6,219,107,107,64,92,97,108
9,444,200,216,114,198,201,218
10,221,74,111,92,88,97,107
6,219,86,110,108,68,94,109
7,220,104,109,109,50,95,106
6,219,104,110,92,72,92,105
22,217,107,107,93,68,84,102
3,221,113,108,74,79,98,104
9,219,106,107,73,78,98,110
5,219,107,108,85,74,92,110
5,217,96,107,81,88,98,108
8,218,95,109,97,67,98,108
1,220,108,109,101,50,103,108
6,219,91,109,91,74,99,111
13,215,84,109,102,73,96,108
11,221,100,105,94,65,96,108
13,220,90,105,87,95,80,110
12,216,75,107,89,98,94,109
9,220,79,107,92,88,97,108
9,216,103,110,103,42,108,109
9,219,81,110,93,84,94,110
6,219,60,107,99,97,102,110
19,219,64,109,96,87,99,107
9,222,72,110,85,89,105,108
6,219,88,102,83,85,106,111
7,215,103,100,94,86,100,95
5,224,93,106,90,86,94,102
5,219,92,109,93,95,99,88
10,219,89,105,91,94,108,84
11,218,90,108,84,92,97,100
3,219,95,100,99,87,100,97
2,220,88,111,97,96,92,94
1,219,87,107,96,105,104,81
6,218,69,106,94,99,108,100
15,220,78,110,78,88,106,105
2,218,86,109,94,86,102,103
7,220,95,108,102,58,106,104
2,217,99,110,104,57,109,102
19,223,87,110,96,49,108,108
5,217,82,87,85,108,109,107
4,218,69,106,85,104,106,108
5,219,102,80,77,110,97,110
5,217,78,100,81,110,100,109
2,220,80,103,75,107,105,108
4,223,84,105,59,109,106,110
3,221,90,104,82,103,104,93
4,218,92,111,82,89,110,94
6,220,103,106,80,91,108,86
5,218,104,105,84,92,102,90
16,220,107,99,56,100,91,111
10,217,82,107,84,97,110,93
14,220,81,100,73,100,107,105
5,221,78,109,69,103,105,110
7,216,84,105,73,107,106,102
6,221,91,107,56,108,111,100
15,219,80,105,75,106,107,93
4,219,81,99,96,103,107,91
