server,bus1,bus2,bus3,bus4,bus5,bus6,cloud
0.0,-0.00016200712182232164,-0.022251705062812988,-0.04240947984008542,-0.010986691526945976,-0.03137743457295594,-0.02337175723015753,0.0
0.0,-0.0036538836440317924,-0.038144842267491104,-0.016631758653421078,-0.021373185029903808,-0.03655946997173361,-0.007816071465998815,0.0
0.0,0.0,0.0,-0.021164518281891174,-0.0021496806861910816,-0.020618618374361675,-0.0038640704283182856,0.0
0.0,0.0,-0.0019718021675604897,-0.02037082696534776,0.0,-0.010736184172216464,-0.008526738922111893,0.0
0.0,-0.003329741838678297,-0.0045535923077703495,-0.021818704898706482,-0.01807448897241693,-0.017382741580494604,-0.007258489704739757,0.0
0.0,0.0,-0.003984876795481177,-0.016359529510774757,-0.00025321231957753615,-0.010469185619121801,-0.011427203320317216,-0.0012051903249626118
0.0,-0.00019411799123813942,-0.005615770739692113,-0.02142846796779343,-0.002604606702098888,-0.005742862708208277,-0.01890595737948388,-0.0019607205512625825
0.0,-0.0015437372591093242,-0.00047677127494408374,-0.022350689193962374,-0.009604085242328612,-0.00907913991000999,-0.03693711165050761,0.0
0.0,0.0,-0.0067499824266559205,-0.017266182545253604,-0.002428828548703487,-0.00041219388335085664,-0.026936038577733867,-0.0003216882050916546
0.0,0.0,-0.007581447307976646,-0.01651781894754816,-0.007923615598199022,-0.0017385946179375722,-0.01609039962026707,-0.0016897235721930618
0.0,-0.0037162116463270475,-0.012824526355350375,-0.018370525893749812,-0.011801115284321336,-0.01733962676206414,-0.02074083701719943,-0.0011595693472593919
0.0,0.0,-0.0033703392665218766,-0.008794845221179116,-0.0006329442933735789,-0.01407671831737567,-0.005963673650814976,0.0
0.0,-0.00046294191453528607,-0.005261926586897014,-0.006147562694412869,-0.005434749202907297,-0.00605291675126191,-0.0003039756643725559,0.0
0.0,0.0,-0.0013356391846561584,-0.002937261878530842,-0.000525866202354927,-0.0008574046981922646,-0.007897872992409766,0.0
0.0,0.0,-0.004225337568299515,-0.002771034811982156,-0.00678085583701035,-0.005164802813272176,-0.008594578141049082,0.0
0.0,0.0,0.0,-0.0184409848476133,0.0,-0.000899293403110228,-0.011947356582228185,0.0
0.0,-0.00177500716087667,-0.009475069357480841,-0.010058902632901927,-0.007666313156482426,-0.002952591919842725,-0.005423206097694274,0.0
0.0,0.0,-0.004362447435185642,-0.00258567262474533,-0.000761195889811601,0.0,0.0,0.0
0.0,-0.000273234864639857,-0.00041574648569629675,-0.013618538726059708,-0.0037536661788641484,0.0,-0.019818267624146714,0.0
0.0,0.0,-0.00027321592139672594,-0.0029118687821680735,-0.004696881409208658,0.0,-0.010435072989017394,0.0
0.0,-0.006319997405002013,-0.006135482012297653,-0.0046603332926220264,0.0,-0.006553639212141499,-0.008771062194012507,-0.0007201460692190853
0.0,0.0,-0.012603598839507747,0.0,-0.00014994967227413133,-0.003910343820256366,-0.007410326768340384,0.0
0.0,0.0,-0.001629416106678679,-0.008909175728352451,0.0,0.0,-0.013675911434875091,0.0
